student_id,problem_number,problem_text,problem_strategy,student_strategy,cluster_number,correct_strategy,correct_unknown,correct_answer
stu_WGHAA88036,15,"Evita collects baseball cards and is trying to complete a special edition set of cards.  Last week, she collected 20 cards.  This week she collected 80% more cards than she collected last week.  How many cards did she collect this week?
Enter the number of cards that Evita collected this week.",ER,BOTH,0,no,no,no
stu_WGHAA88036,16,"Lourdes wanted a Snowbird snowboard, but she couldn't afford the $16 price. By waiting until after ski season, she was able to buy a Snowbird at a 25% discount. How much did the snowboard cost Lourdes?
Enter the amount Lourdes paid for the Snowbird snowboard.",ME,BOTH,0,no,yes,no
stu_WGHAA88036,17,"Last week, you joined an online strategy game.  When you joined, there were 4 members.  Since then, the number of members has increased by 25%.  How many members are there now?
Enter the current number of members.",ER,BOTH,0,no,no,no
stu_WGHAA88036,18,"Last month, you conducted a survey for the student newspaper.  Of the students that you surveyed, 12 thought that the student council president was doing a good job.  You conduct the same survey this month.  After surveying the same students, you find that the number of students who think that the student council president is doing a good job has decreased by 25%.  How many students think that the student council president is doing a good job now?
Enter the number of students who think that the student council president is doing a good job now.",ME,BOTH,0,no,yes,no
stu_WGHAA88036,19,"Of all of Irene's relatives, 50 didn't believe that man really landed on the moon. Then, Grampa was contacted by aliens and they told him it was true.  Now the number of relatives who don't believe anyone landed on the moon has shrunk by 42%.  How many still don't believe man landed on the moon?
Enter the number of relatives who still don't believe man landed on the moon.",ER,BOTH,0,no,no,no
stu_WGHAA88036,20,"Last spring, 50 students signed up for the Intramural Sports Club at your school. This spring, 70% fewer students signed up for the club than last spring. How many students signed up for the Intramural Sports Club this spring?
Enter the number of students that signed up for the Intramural Sports Club this spring.",ER,BOTH,0,no,no,no
stu_BHUTJ92034,1,"Last month, Cheyenne had 10 dollars in a checking account.  Since then, her account balance has increased by 70%.  What is the current balance of Cheyenne's account?
Enter the current balance of Cheyenne's account.",ER,ER,1,yes,yes,no
stu_BHUTJ92034,2,"Last month, you joined an online strategy game.  When you joined, there were 8 members.  Since then, the number of members has decreased by 25%.  How many members are there now?
Enter the current number of members.",ME,ME,1,yes,yes,yes
stu_BHUTJ92034,3,"Shelby's normal resting heart rate is 75 beats per minute. Her doctor recommends that during strenuous exercise, Shelby's heart rate should not increase by more than 69 beats per minute. What is the percent change in Shelby's heart rate from her resting heart rate to the maximum rate recommended by her doctor?
Enter the percent change in Shelby's heart rate from her resting heart rate to the maximum rate recommended by her doctor.",ME,ME,1,yes,yes,yes
stu_BHUTJ92034,4,"So far this season, your favorite hockey team has won 45 games.  This is 20 more games than last season.  What is the percent change in the number of games that your favorite team has won from last season to this season?
Enter the percent change in the number of games that your favorite team won from last season to this season.",ER,ER,1,yes,yes,yes
stu_BHUTJ92034,5,"Even when the appliances are turned off, many use electricity. In order to conserve energy, consumers should use smart power strips that completely cut off electricity when appliances are not in use. By using smart power strips, your family reduces your $25 electric bill by 56% each month. How much is your family's electric bill when using the smart power strips?
Enter the amount of the electric bill after using smart power strips.",ER,ER,1,yes,yes,yes
stu_BHUTJ92034,6,"Huge portions of Earth's rainforests have been cleared for ranching, logging, mining, hydroelectric power projects, and other uses. For every 140 square miles of original rainforest, on average, about 77 square miles have been lost. What is the percent change in the amount of rainforest cover on the Earth?
Enter the percent change in the amount of rainforest cover.",ME,ME,1,yes,yes,yes
stu_HDXAP51647,1,"You poll your classmates at the beginning of the school year and learn that 25 of their families recycle at home. You lead a Save-the-Planet campaign throughout September and then take a second poll in October. This time 3 additional families have started to recycle. What is the percent change in the number of families who recycle at home from September to October?
Enter the percent change in number of families who recycle at home from September to October.",ER,ER,2,yes,yes,yes
stu_HDXAP51647,2,"The local animal shelter had 12 dogs at the beginning of the month.  Since then, the number of dogs at the shelter has decreased by 75%.  How many dogs are at the animal shelter today?
Enter the number of dogs at the animal shelter today.",ME,ER,2,no,no,no
stu_HDXAP51647,3,"In summer, you want to put the wind chill factor to work for you. You know that using ceiling fans can make you feel 66 degrees cooler in a house that is 75 degrees, so you turn on your ceiling fans. What is the percent change in the temperature after the ceiling fans are turned on?
Enter the percent change in the temperature from when your ceiling fans are off to when they are on. ",ME,ER,2,no,no,yes
stu_HDXAP51647,4,"Your phone has 40 gigabytes of music on it. During the next sync, you add 10% more music to it, and it is full. How many gigabytes does the phone hold now?
Enter the total number of gigabytes that the phone holds now.",ME,ER,2,no,yes,no
stu_HDXAP51647,5,"So far this season, your favorite hockey team has won 45 games.  This is 20 more games than last season.  What is the percent change in the number of games that your favorite team has won from last season to this season?
Enter the percent change in the number of games that your favorite team won from last season to this season.",ER,ER,2,yes,yes,yes
stu_HDXAP51647,6,"Last spring, 4 students signed up for the Intramural Sports Club at your school. This spring, 25% fewer students signed up for the club than last spring. How many students signed up for the Intramural Sports Club this spring?
Enter the number of students that signed up for the Intramural Sports Club this spring.",ER,ER,2,yes,yes,no
stu_HDXAP51647,7,"Diana collects basketball cards and is trying to complete a special edition set of cards.  Last week, she collected 75 cards.  This week she collected 32% more cards than she collected last week.  How many cards did she collect this week?
Enter the number of cards that Diana collected this week.",ME,ER,2,no,yes,yes
stu_HDXAP51647,8,"The manager of Cinema Ten lowered the price of an adult ticket by 65%. To her surprise, the number of theatergoers increased so much that the theater actually increased its total profits. Before the decrease, an adult ticket cost $20. How much did it cost after the decrease?
Enter the cost of an adult ticket after the price was lowered.",ER,ER,2,yes,yes,yes
stu_HDXAP51647,9,"The white half-moon at the bottom of a finger nail is called a lunula.  Before, only 20 people knew it was called a lunula.  Now 16 people know it. What is the percent change?
Enter the percent change of the number of people who know it is called a lunula.",ER,ER,2,yes,yes,yes
stu_HDXAP51647,10,"At Ray's art gallery opening night, 60 people came to view his artwork. On the second night of the showing, 27 people came to view his artwork. What is the percent change in the number of people who came to view Ray's artwork from opening night to the second night of his showing?
Enter the percent change in the number of people who came to view Ray's artwork from opening night to the second night of his showing.",ME,ER,2,no,yes,yes
stu_HDXAP51647,11,"Last summer, 60 students enrolled in Mr. Cross' arts and crafts camp. This summer, the enrollment to his camp dropped by 5%. How many students enrolled in Mr. Cross' arts and crafts camp this summer?
Enter the number of students that enrolled in Mr. Cross' arts and crafts camp this summer.",ME,ER,2,no,yes,yes
stu_VOOCF08803,1,"You poll your classmates at the beginning of the school year and learn that 25 of their families recycle at home. You lead a Save-the-Planet campaign throughout September and then take a second poll in October. This time 3 additional families have started to recycle. What is the percent change in the number of families who recycle at home from September to October?
Enter the percent change in number of families who recycle at home from September to October.",ER,BOTH,3,no,no,yes
stu_VOOCF08803,2,"Each morning, Stacey makes 20 cinnamon bagels for his customers at Barney's Bagels. Because of a recent increase in the popularity of cinnamon bagels, she has increased the number she bakes each morning by 80%. How many cinnamon bagels does Stacey now bake each day?
Enter the number of cinnamon bagels Stacey now bakes each day.",ER,BOTH,3,no,no,no
stu_VOOCF08803,3,"So far this season, your favorite basketball team has won 28 games.  This is 22 fewer games than last season.  What is the percent change in the number of games that your favorite team has won from last season to this season?
Enter the percent change in the number of games that your favorite team won from last season to this season.",ER,BOTH,3,no,no,yes
stu_VOOCF08803,4,"Last month, Cheyenne had 10 dollars in a checking account.  Since then, her account balance has increased by 70%.  What is the current balance of Cheyenne's account?
Enter the current balance of Cheyenne's account.",ER,BOTH,3,no,no,no
stu_VOOCF08803,5,"Nicholas is the manager of a car wash.  Last week, there were 24 customers.  This week there were 75% fewer customers than last week.  How many customers were at the car wash this week?
Enter the number of customers at the car wash this week.",ME,BOTH,3,no,no,no
stu_VOOCF08803,6,"An architect decides to create a playhouse model that is a smaller version of her showcased house. The living room of the real house is 12 feet long, and the length of the living room in the playhouse is reduced by 75%. What is the length of the playhouse's living room?
Enter the length of the living room for the playhouse.",ME,BOTH,3,no,no,no
stu_VOOCF08803,7,"Lourdes wanted a Snowbird snowboard, but she couldn't afford the $16 price. By waiting until after ski season, she was able to buy a Snowbird at a 25% discount. How much did the snowboard cost Lourdes?
Enter the amount Lourdes paid for the Snowbird snowboard.",ME,BOTH,3,no,no,no
stu_VOOCF08803,8,"Jessica volunteers at a dog rescue service adoption day. At the beginning of the day, there were 20 dogs up for adoption. Throughout the day, 70% of the dogs were adopted. How many dogs still needed to be adopted at the end of the adoption day?
Enter the number of dogs that still needed to be adopted at the end of the adoption day.",ER,BOTH,3,no,no,no
stu_VOOCF08803,9,"The local animal shelter had 16 cats at the beginning of the week.  Since then, the number of cats at the shelter has decreased by 25%.  How many cats are at the animal shelter today?
Enter the number of cats at the animal shelter today.",ME,BOTH,3,no,no,yes
stu_VOOCF08803,10,"At Joy's Toy Store, their most popular toy sold is a scooter. Last summer, the toy store sold 72 scooters. This summer, the store sold 126 scooters. What is the percent change in the number of scooters sold from last summer to this summer?
Enter the percent change in the number of scooters sold from last summer to this summer.",ME,BOTH,3,no,no,yes
stu_VOOCF08803,11,"At the beginning of the month, Stephanie's Used Car Dealership had 25 cars on the lot.  Today, there are 37 cars on the lot.  What is the percent change in the number of cars on the lot this month?
Enter the percent change in the number of cars on the lot this month.",ER,BOTH,3,no,no,yes
stu_VOOCF08803,12,"Last month, you joined an online strategy game.  When you joined, there were 25 members.  This month, there are 47 members.  What is the percent change in the number of members from last month to this month?
Enter the percent change in the number of members from last month to this month.",ER,BOTH,3,no,no,no
stu_VOOCF08803,13,"Marion's hobby is buying and selling rare coins. She purchased a 1914 Lincoln head penny minted in Denver for $20. Because the coin is one of the rarest Lincoln heads, Marion was able to sell the coin one year later for 20% more than she paid for it. What was Marion selling price for the coin?
Enter the selling price of Marion's coin.",ER,BOTH,3,no,no,no
stu_VOOCF08803,14,"Of all of Irene's relatives, 50 didn't believe that man really landed on the moon. Then, Grampa was contacted by aliens and they told him it was true.  Now the number of relatives who don't believe anyone landed on the moon has shrunk by 42%.  How many still don't believe man landed on the moon?
Enter the number of relatives who still don't believe man landed on the moon.",ER,BOTH,3,no,no,no
stu_VOOCF08803,15,"Last summer, 4 students enrolled in Mr. Cross' arts and crafts camp. This summer, the enrollment to his camp dropped by 75%. How many students enrolled in Mr. Cross' arts and crafts camp this summer?
Enter the number of students that enrolled in Mr. Cross' arts and crafts camp this summer.",ER,BOTH,3,no,no,no
stu_VOOCF08803,16,"Each member of the neighborhood swim team, the Flippers, swims 75 laps every day. Before a meet, however, they reduce the number of laps at practice by 32%.  How many laps do they each swim on these days?
Enter the number of laps the Flippers swim in the practice before a meet.",ME,BOTH,3,no,no,no
stu_VOOCF08803,17,"Hita has a collection of shells.  Last month, she had 50 shells.  Since last month, her collection has decreased by 68%.  How many shells does Hita have now?
Enter the number of shells that Hita has now.",ER,BOTH,3,no,yes,no
stu_VOOCF08803,18,"Shona has a collection of insects.  Last month, she had 10 insects.  Since last month, her collection has decreased by 30%.  How many insects does Shona have now?
Enter the number of insects that Shona has now.",ER,BOTH,3,no,yes,no
stu_VOOCF08803,19,"Your phone has 40 gigabytes of music on it. During the next sync, you add 55% more music to it, and it is full. How many gigabytes does the phone hold now?
Enter the total number of gigabytes that the phone holds now.",ME,BOTH,3,no,no,no
stu_VOOCF08803,20,"Diana collects basketball cards and is trying to complete a special edition set of cards.  Last week, she collected 75 cards.  This week she collected 32% more cards than she collected last week.  How many cards did she collect this week?
Enter the number of cards that Diana collected this week.",ME,BOTH,3,no,no,no
stu_VYRFJ48951,1,"Lourdes wanted a Snowbird snowboard, but she couldn't afford the $16 price. By waiting until after ski season, she was able to buy a Snowbird at a 25% discount. How much did the snowboard cost Lourdes?
Enter the amount Lourdes paid for the Snowbird snowboard.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,2,"Last month, Trevor had 20 dollars in a checking account.  Since then, he has deposited 19 dollars into the account.  What is the percent change in Trevor's account balance from last month to this month?
Enter the percent change in the account balance from last month to this month.",ER,BOTH,4,no,no,no
stu_VYRFJ48951,3,"The number of cats at the local animal shelter has increased by 8 since the beginning of the week.  Today, the animal shelter has 18 cats.  What is the percent change in the number of cats at the animal shelter this week?
Enter the percent change in the number of cats at the animal shelter since the beginning of the week.",ER,ER,4,yes,no,yes
stu_VYRFJ48951,4,"Nicholas has a collection of shells.  Last month, he had 8 shells.  Since then, he has sold 6 shells.  What is the percent change in the number of shells in Nicholas' collection from last month to now?
Enter the percent change in the number of shells in Nicholas' collection from last month to now.",ME,ER,4,no,no,no
stu_VYRFJ48951,5,"An architect decides to create a playhouse model that is a smaller version of her showcased house. The living room of the real house is 12 feet long, and the length of the living room in the playhouse is reduced by 75%. What is the length of the playhouse's living room?
Enter the length of the living room for the playhouse.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,6,"Last season, your favorite basketball team won 50 games.  So far this season, your favorite basketball team has won 9 fewer games than last season.  What is the percent change in the number of games that your favorite team won from last season to this season?
Enter the percent change in the number of games that your favorite team won from last season to this season.",ER,BOTH,4,no,no,yes
stu_VYRFJ48951,7,"Each morning, Eric makes 50 cinnamon bagels for his customers at Barney's Bagels. Because of a recent increase in the popularity of cinnamon bagels, he has increased the number he bakes each morning by 58%. How many cinnamon bagels does Eric now bake each day?
Enter the number of cinnamon bagels Eric now bakes each day.",ER,BOTH,4,no,no,no
stu_VYRFJ48951,8,"Marion's hobby is buying and selling rare coins. She purchased a 1914 Lincoln head penny minted in Denver for $20. Because the coin is one of the rarest Lincoln heads, Marion was able to sell the coin one year later for 20% more than she paid for it. What was Marion selling price for the coin?
Enter the selling price of Marion's coin.",ER,BOTH,4,no,no,no
stu_VYRFJ48951,9,"The end of summer means a closeout sale on life jackets at Landlubber's. At the beginning of the sale, there are 50 jackets in stock. At the end of the sale, they have sold 68% of them. How many jackets are in stock at the end of the sale?
Enter the number of jackets that are in stock at the end of the sale.",ER,BOTH,4,no,no,no
stu_VYRFJ48951,10,"Timothy is the manager of a car wash.  Last week, there were 40 customers.  This week there were 75% more customers than last week.  How many customers were at the car wash this week?
Enter the number of customers at the car wash this week.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,11,"Pedro has a collection of movies.  Last month, he had 80 movies.  Since then, he has sold 16 movies.  What is the percent change in the number of movies in Pedro's collection from last month to now?
Enter the percent change in the number of movies in Pedro's collection from last month to now.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,12,"The peach tree in Anthony's back yard produced 56 pounds of peaches in one summer. The next summer, it produced 14 pounds less than the previous year. What is the percent change in the number of pounds of peaches produced from one summer to the next?
Enter the percent change in the number of pounds of peaches from one summer to the next.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,13,"Last week, you joined an online strategy game.  Since then, 3 members have quit. There are now 47 members.  What is the percent change in the number of members from last week to this week?
Enter the percent change in the number of members from last week to this week.",ER,BOTH,4,no,no,yes
stu_VYRFJ48951,14,"Diana collects basketball cards and is trying to complete a special edition set of cards.  Last week, she collected 75 cards.  This week she collected 32% more cards than she collected last week.  How many cards did she collect this week?
Enter the number of cards that Diana collected this week.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,15,"At the beginning of the month, Jailah's Used Car Dealership had 25 cars on the lot.  Since then, Jailah increased the number of cars on the lot by 88%.   How many cars are on the lot now?
Enter the number of cars on the lot now.",ER,BOTH,4,no,no,no
stu_VYRFJ48951,16,"Last month, you conducted a survey for the student newspaper.  Of the students that you surveyed, 12 thought that the student council president was doing a good job.  You conduct the same survey this month.  After surveying the same students, you find that the number of students who think that the student council president is doing a good job has decreased by 25%.  How many students think that the student council president is doing a good job now?
Enter the number of students who think that the student council president is doing a good job now.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,17,"Last spring, 50 students signed up for the Intramural Sports Club at your school. This spring, 70% fewer students signed up for the club than last spring. How many students signed up for the Intramural Sports Club this spring?
Enter the number of students that signed up for the Intramural Sports Club this spring.",ER,BOTH,4,no,no,no
stu_VYRFJ48951,18,"Each member of the neighborhood swim team, the Flippers, swims 75 laps every day. Before a meet, however, they reduce the number of laps at practice by 32%.  How many laps do they each swim on these days?
Enter the number of laps the Flippers swim in the practice before a meet.",ME,BOTH,4,no,no,no
stu_VYRFJ48951,19,"In 1996, workers in the United States earned an average of $12 per hour. Over the next six years, the average hourly wage increased by 25%. What was the average hourly wage in 2002?
Enter the average hourly wage in 2002.",ME,BOTH,4,no,yes,no
stu_VYRFJ48951,20,"Your phone has 40 gigabytes of music on it. During the next sync, you add 10% more music to it, and it is full. How many gigabytes does the phone hold now?
Enter the total number of gigabytes that the phone holds now.",ME,BOTH,4,no,no,no
